Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete
667c47139f1b825347e0ff86,Manual SAM Delivery Readiness without GIT,https://trello.com/c/hHet33II/103-manual-sam-delivery-readiness-without-git,"From Greg:

So, this is a readiness test.  To sell our first deals manually without GIT.  We would only need the private repo URL for the packages when they are sold from you and JJ.   Customer Workflow -   They pay first for the server edition. $995. Via Stripe.  They get an email with a notification that it is automated, telling them I will send them a notification with a private URL to pick up the SAM templates and VUE.JS packages.   I will send Erica a notification via email that customer X has paid.  Erica sends me a private link for customers to download in SAM repo for now.  In the repo is the SAM Template and Arnie's VUE Cal snack package + SIS Admin Package.   The repo can be a S3 / or a Drop Box with a one time link to get to the template.   No across account setup. This is a package SAM template sale.    So we are responsible for declaring how to ""set it up"" in line in the template and a small doc with what resources are provisioning for them in their account.  I send the private link out and copy the team.   We then can work on GitRepo over the back half of the year.   It will take time to build revenue with the button up but feel good about the manual hop for now.   That means they would get the total template with access to Lambas as they stand with a PDF on how it all works.   Customers would be responsible for all AWS setup, connections , and our ideal target is an experienced AWS account owner with a SES account.    We will cover this in the Stripe Button under buyer beware.   I will have all API docs completed in 2 weeks, along with samples of how we built calendar snack screenshots in the current revision.   Please advise if you have any red flags regarding this approach.   It all seems solid on workflow.  And we can always refund the money .   This is a great recent from AWS on Step Functions and a Detailed repo.  [https://github.com/aws-samples/amazon-bedrock-serverless-prompt-chaining?tab=readme-ov-file](https://github.com/aws-samples/amazon-bedrock-serverless-prompt-chaining?tab=readme-ov-file ""smartCard-inline"")   [https://community.aws/content/2hNYs9DpLcfNKx27Hb9wJCH1wFa/build-serverless-scalable-generative-ai-apps-with-this-github-repo](https://community.aws/content/2hNYs9DpLcfNKx27Hb9wJCH1wFa/build-serverless-scalable-generative-ai-apps-with-this-github-repo ""smartCard-inline"")  =  G",,,,0,,0,0,0,1,2024-07-07T23:46:21.437Z,667335af9fa62f28db1aa6dc,Incoming Requests Backlog,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
67084667402b3f5d97cfb995,Use the Internal Sam Template to bring up RSVPbutton.com and create@rsvpbutton.com. Arnie will provide UI. This would be without GIT.  Video-record appropriate parts of the session.  We can use notebooklm.com to generate the install docs from the transcript as an idea.  RSVPButton.com is up and running - just waiting on a SIS Instance.,https://trello.com/c/MAQukqXi/107-use-the-internal-sam-template-to-bring-up-rsvpbuttoncom-and-creatersvpbuttoncom-arnie-will-provide-ui-this-would-be-without-git,,,,,0,,0,0,0,0,2024-10-10T21:25:59.430Z,667335af9fa62f28db1aa6dc,Incoming Requests Backlog,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
67111f4cbd73f35b6a1b3097,"Review Outlook fails - in testing channel - Need to add a Fail Create Calendar message for any snack that fails. The intermittent fail is on Outlook Snack generates. Approximately - 15 Fails per 80 attempted using an .ICS uploaded files to Outlook calendar.  When generating a calendar invite in the client by ""typing"" it in - All seems to work fine. This issue could be around the .ICS event having possible hidden characters - etc.  Please check logs and validate.",https://trello.com/c/gcjMvZMk/108-review-outlook-fails-in-testing-channel-need-to-add-a-fail-create-calendar-message-for-any-snack-that-fails-the-intermittent-fai,,,,,0,,0,0,0,0,2024-10-17T14:29:32.758Z,667335af9fa62f28db1aa6dc,Incoming Requests Backlog,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
637061a6fc688a0098267846,Add Sphinx for auto documentation of code releases,https://trello.com/c/0x7ADhGq/54-add-sphinx-for-auto-documentation-of-code-releases,,CICD (purple),,,0,,0,0,0,0,2024-09-02T03:26:58.658Z,66732fc428c7b00eb2d97305,De-Prioritized,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
637c521e3f569f00309f7ae1,Investigate use of GraphQL,https://trello.com/c/IAR4ziV4/58-investigate-use-of-graphql,"https://aws.amazon.com/graphql/graphql-dynamodb-data-modeling/

https://www.alexdebrie.com/posts/dynamodb-graphql/",,jeanneret1,,0,,0,0,0,0,2024-06-19T19:36:06.663Z,66732fc428c7b00eb2d97305,De-Prioritized,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
6370602829a12f01b08cbcd7,Add Web Application Firewall to improve security,https://trello.com/c/Y7Czs3TV/47-add-web-application-firewall-to-improve-security,,,,,0,,0,0,0,0,2024-06-19T19:22:14.459Z,66732fc428c7b00eb2d97305,De-Prioritized,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
6370613354a2390187c9302d,Set up application monitoring for reporting issues with latency or error responses,https://trello.com/c/CtPoeXPf/50-set-up-application-monitoring-for-reporting-issues-with-latency-or-error-responses,,,,,0,,0,0,0,0,2024-06-19T19:22:16.239Z,66732fc428c7b00eb2d97305,De-Prioritized,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
629bc0250f759520a55246ee,UI/Feedback updates,https://trello.com/c/oojD3PWs/38-ui-feedback-updates,,,,,0,,2,0,0,0,2024-06-19T19:22:18.716Z,66732fc428c7b00eb2d97305,De-Prioritized,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
678411430fb8a4e1f61ae569,create customer packaged stack with Event Management coming from 31event managed account,https://trello.com/c/pTXsgeHb/114-create-customer-packaged-stack-with-event-management-coming-from-31event-managed-account,"We’ll create a copy of the latest packaged, update to remove the launch of the Event Management apps, and instead enable client to call the functions from their own AWS accounts.",,"ericabrauer1, jeanneret1, jonnjeanneret1",,0,,0,0,0,0,2025-01-19T01:21:03.520Z,66732fc428c7b00eb2d97305,De-Prioritized,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
673e98fd529f299df3a13274,Configure and test external account access with launch template,https://trello.com/c/70oXtF4C/111-configure-and-test-external-account-access-with-launch-template,,,,,0,,0,0,0,0,2025-01-19T01:21:48.739Z,66732fc428c7b00eb2d97305,De-Prioritized,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
673e98b1b64c8d190404e131,Create generic (customer) SES email templates,https://trello.com/c/voV37GLv/110-create-generic-customer-ses-email-templates,,,,,0,,0,0,0,0,2025-01-19T01:21:53.167Z,66732fc428c7b00eb2d97305,De-Prioritized,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
6302aecbf4696b517f709c0e,Set up bulk account for bulk SES event invites,https://trello.com/c/jCro4ZvG/40-set-up-bulk-account-for-bulk-ses-event-invites,Use shared-pool for bulk and bulkinvite.com for sending bulk csv file to,"Requirement for enabling Bulk/VIP (orange), Security (pink_light)",,,0,,0,0,0,0,2025-01-19T01:22:47.494Z,66732fc428c7b00eb2d97305,De-Prioritized,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
66d5305f7c9d738b3545c055,Add security layer to backend,https://trello.com/c/S6gLGSVK/106-add-security-layer-to-backend,,"Requirement for enabling Bulk/VIP (orange), Security (pink_light)",,,0,,0,0,0,0,2025-01-19T01:22:29.303Z,62758eeb77646e1dc23531fe,Backlog,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
673e99607b6226d02c661078,Clean up legacy prod resources,https://trello.com/c/B2gBttxZ/112-clean-up-legacy-prod-resources,,,,,0,,0,0,0,0,2025-01-19T01:22:39.933Z,62758eeb77646e1dc23531fe,Backlog,62758edd94b1ff88e01b4a74,CalendarSnack,false,,false
